Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public School,ROI,Classification
15,2608 RICHMOND RD SW,2017-03-22,2017,2019-01-10,2019,Townhouse,SNAP BUILDING,SNAP BUILDING,0,4,897237,RICHMOND,RIC,477000,2274500,1797500,113000,"[-114.1220718, 51.0287169]",3.935327859,0.163118825,224309.25,0.270591,0.515708551,0.66,2
96,#3 3355 SPRUCE DR SW,2019-09-11,2019,2020-08-11,2020,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,SHEMSHO CONSTRUCTION,4,1006087,SPRUCE CLIFF,SPR,471500,2271500,1800000,82000,"[-114.1355637, 51.04545892]",4.452597216,0.020946898,251521.75,0.172183658,0.331758263,0.54,1
180,1613 6 AV NW,2018-07-25,2018,2019-07-23,2019,Apartment,STONE WEST HOMES,STONE WEST HOMES,STONE WEST HOMES,4,700000,HILLHURST,HIL,727500,2536000,1808500,109000,"[-114.0971193, 51.05750297]",2.264508679,0.005747031,175000,0.241306513,0.3419032,0.78,2
208,2828 1 ST NW,2018-10-25,2018,2020-12-29,2020,Townhouse,CAMBRIDGE HOMES,CAMBRIDGE HOMES,CAMBRIDGE HOMES,5,1232218,TUXEDO PARK,TUX,530500,2341500,1811000,80000,"[-114.0646831, 51.07772977]",3.703408828,0.142519853,246443.6,0.343023705,0.436086049,0.33,1
166,641 12 AV NE,2020-08-28,2020,2021-06-16,2021,Unspecified,WESTMOUNT PROJECTS,WESTMOUNT PROJECTS,WESTMOUNT PROJECTS,4,793339,RENFREW,REN,281000,2097500,1816500,83000,"[-114.0485073, 51.06296753]",2.603964208,0.051352398,198334.75,0.172527675,0.344147316,0.95,2
199,1842 38 AV SW,2019-01-08,2019,2020-03-02,2020,Unspecified,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,0,4,934345,ALTADORE,ALT,681500,2506000,1824500,113000,"[-114.1046685, 51.02035532]",3.550206431,0.291289307,233586.25,0.258777011,0.290303477,0.55,1
207,1610 16 AV SW,2017-03-10,2017,2018-04-02,2018,Apartment,RNDSQR,RNDSQR,0,4,1067611,SUNALTA,SNA,702500,2542500,1840000,68500,"[-114.0979564, 51.0387407]",1.940862517,0.11017172,266902.75,0.106408486,0.260462975,0.44,1
149,307 18 ST NW,2022-02-15,2022,2023-08-18,2023,Apartment,VERDEEP UBHI,VERDEEP UBHI,VERDEEP UBHI,3,826606,WEST HILLHURST,WHL,540500,2382000,1841500,109000,"[-114.1026885, 51.05467993]",2.420810009,0.202298897,275535.3333,0.380514134,0.100532097,0.74,2
106,2106 49 AV SW,2019-02-05,2019,2020-03-18,2020,Townhouse,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,4,963760,ALTADORE,ALT,670000,2536500,1866500,113000,"[-114.1094966, 51.0100531]",4.668014308,0.090957361,240940,0.36352771,0.054473287,0.55,1
131,2202 24A ST SW,2021-03-01,2021,2023-04-04,2023,Townhouse,MARKO CILIC,MARKO CILIC,MARKO CILIC,3,1068984,RICHMOND,RIC,506500,2378500,1872000,113000,"[-114.1187765, 51.03461308]",3.466404096,0.130981507,356328,0.279614619,0.244847361,0.51,1
1,11 CARRINGHAM WY NW,2022-07-15,2022,2023-12-15,2023,Townhouse,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY (ABERDEEN HEIGHTS),40,8502810,CARRINGTON,CAR,672000,19949500,19277500,113000,"[-114.0900712888889, 51.186815242222224]",15.84976431,0.303340618,212570.25,0.150665129,1.371329502,1.17,2
148,96 23 ST NW,2019-03-28,2019,2020-06-24,2020,Townhouse,0,0,0,4,839384,WEST HILLHURST,WHL,474000,2358000,1884000,109000,"[-114.1152285, 51.05218708]",3.14134437,0.068382911,209846,0.219391452,0.114128978,0.80,2
54,1750 50 AV SW,2018-05-24,2018,2019-10-09,2019,Townhouse,RNDSQR CONSTRUCTION,RNDSQR CONSTRUCTION,0,4,948049,ALTADORE,ALT,649000,2559500,1910500,113000,"[-114.1031777, 51.00883174]",4.552656386,0.125279293,237012.25,0.348084482,0.484474616,0.60,1
220,2242 26A ST SW,2018-06-27,2018,2019-04-24,2019,Townhouse,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,0,4,1000000,KILLARNEY/GLENGARRY,KIL,575000,2488500,1913500,101000,"[-114.1250098, 51.0333615]",3.923855791,0.362656263,250000,0.277597177,0.532717788,0.58,1
104,3103 KILDARE CR SW,2021-05-21,2021,2022-06-28,2022,Unspecified,JERRY HOMES,0,JERRY HOMES,4,887942,KILLARNEY/GLENGARRY,KIL,572000,2486500,1914500,101000,"[-114.1403455, 51.02684449]",5.183930187,0.065956681,221985.5,0.097087043,0.184526174,0.70,2
182,1822 38 AV SW,2019-08-22,2019,2021-03-04,2021,Unspecified,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,4,882900,ALTADORE,ALT,684500,2614500,1930000,113000,"[-114.1035811, 51.02035629]",3.50149978,0.217672092,220725,0.183324841,0.361000181,0.67,2
189,4656B 85 ST NW,2022-02-16,2022,2023-09-07,2023,Townhouse,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,4,868048,BOWNESS,BOW,347500,2300000,1952500,70000,"[-114.2103399, 51.0939736]",11.11628839,0.016524322,217012,0.180161994,0.163527229,0.89,2
31,1938 BOWNESS RD NW,2018-09-18,2018,2020-01-13,2020,Townhouse,RNDSQR CONSTRUCTION,RNDSQR CONSTRUCTION,0,4,883100,WEST HILLHURST,WHL,624000,2585000,1961000,109000,"[-114.1053767, 51.0513873]",2.455495672,0.100207719,220775,0.213684481,0.511976677,0.72,2
83,2646 21 AV SW,2021-08-03,2021,2022-09-14,2022,Unspecified,SUNDER CUSTOM HOMES,0,SUNDER CUSTOM HOMES,4,856201,RICHMOND,RIC,633000,2606000,1973000,113000,"[-114.1216404, 51.0348169]",3.649455392,0.298022678,214050.25,0.104561463,0.383018261,0.75,2
157,1703 48 AV SW,2018-03-29,2018,2019-02-06,2019,Townhouse,RNDSQR,RNDSQR,RNDSQR CONSTRUCTION,4,860520,ALTADORE,ALT,703000,2689000,1986000,113000,"[-114.1007915, 51.01049694]",4.310431075,0.032300758,215130,0.157042013,0.397338626,0.72,2
171,#1 913 38 ST SW,2022-09-27,2022,2023-09-22,2023,Townhouse,QAA DESIGNS,QAA DESIGNS,INVESTA CUSTOM HOMES,4,708885,ROSSCARROCK,RCK,432500,2422000,1989500,82000,"[-114.1427665, 51.04459894]",4.955476774,0.091960614,177221.25,0.164191177,0.401310049,1.12,2
210,2401 32 AV SW,2018-03-09,2018,2019-01-14,2019,Unspecified,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,0,4,924593,RICHMOND,RIC,516500,2507500,1991000,113000,"[-114.1146915, 51.02478236]",3.725813513,0.097581809,231148.25,0.202707901,0.596212463,0.74,2
191,#3 1536 29 AV SW,2022-03-08,2022,2023-07-18,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1289814,SOUTH CALGARY,SOC,661500,2666500,2005000,113000,"[-114.0966812, 51.02779063]",2.560415682,0.140354683,322453.5,0.229769972,0.300372659,0.37,1
125,2404 28 AV SW,2018-06-28,2018,2020-10-27,2020,Unspecified,SAVILLE HOMES,SAVILLE HOMES,SAVILLE HOMES,8,2340196,RICHMOND,RIC,1369000,3374500,2005500,113000,"[-114.1145461, 51.02871778]",3.474204611,0.190990934,292524.5,0.213757492,0.16200161,-0.09,0
169,#1 1616 15 AV SW,2017-03-28,2017,2018-01-19,2018,Apartment,RNDSQR,RNDSQR,0,4,815400,SUNALTA,SNA,641000,2684000,2043000,68500,"[-114.0978888, 51.0396712]",1.903284653,0.213265436,203850,0.143313468,0.165156571,0.84,2
133,#1 1818 5 ST SW,2018-02-14,2018,2019-05-17,2019,Townhouse,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,0,4,1144118,CLIFF BUNGALOW,CLI,984000,3092500,2108500,65500,"[-114.0740085, 51.03641649]",0.936629193,0.180227382,286029.5,0.410295649,0.256828268,0.45,1
2,#21 1710 28 AV SW,2020-12-22,2020,2022-02-14,2022,Unspecified,TRICO HOMES,0,TRICO HOMES,6,1403443,SOUTH CALGARY,SOC,1620000,3738000,2118000,113000,"[-114.1004774, 51.02869701]",2.679000595,0.307387503,233907.1667,0.376313112,0.160654466,0.24,0
76,4007 8 AV SW,2018-07-18,2018,2019-09-20,2019,Townhouse,WEST RIDGE FINE HOMES,WEST RIDGE FINE HOMES,0,4,830000,ROSSCARROCK,RCK,493500,2659000,2165500,82000,"[-114.144201, 51.04490471]",5.055759448,0.11755216,207500,0.058992813,0.41148846,1.01,2
161,1743B 33 AV SW,2020-12-26,2020,2023-10-12,2023,Unspecified,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,8,2430112,SOUTH CALGARY,SOC,1153000,3330000,2177000,113000,"[-114.10206615, 51.0235872]",3.159624599,0.055959141,303764,0.339965922,0.418303256,-0.07,0
140,#1 307 2 AV NE,2017-08-14,2017,2018-10-23,2018,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,6,1159173,CRESCENT HEIGHTS,CRE,942000,3140000,2198000,83000,"[-114.0571717, 51.05426157]",1.476521874,0.379907599,193195.5,0.344911692,0.285948674,0.49,1
194,1807 50 ST NW,2021-11-05,2021,2023-01-11,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,902493,MONTGOMERY,MON,405500,2616500,2211000,81000,"[-114.1660115, 51.07597119]",7.439028471,0.069582247,225623.25,0.142567817,0.586486466,1.00,2
173,204B 12 AV NE,2022-04-01,2022,2023-04-14,2023,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,PARAMOUNT HOMES CONSTRUCTION,4,797367,CRESCENT HEIGHTS,CRE,487000,2700000,2213000,83000,"[-114.0597605, 51.06373094]",2.276061767,0.15256273,199341.75,0.516668471,0.508285006,1.10,2
27,2002 6 AV NW,2019-06-17,2019,2020-12-22,2020,Unspecified,0,0,0,6,1303747,WEST HILLHURST,WHL,576500,2800000,2223500,109000,"[-114.10593775000001, 51.058149310000005]",2.809247275,0.050308897,217291.1667,0.082158734,0.353518806,0.49,1
72,206 SHERWOOD LN NW,2017-09-05,2017,2019-04-11,2019,Townhouse,GABLECRAFT HOMES,GABLECRAFT HOMES,EXCEL HOMES LIMITED PARTNERSHIP,11,1818675,SHERWOOD,SHW,1065000,3292500,2227500,118000,"[-114.14757130000001, 51.160610774999995]",13.92667361,0.028874533,165334.0909,0.173125171,0.095761722,0.14,0
109,2141B 26 AV SW,2022-02-08,2022,2023-01-27,2023,Townhouse,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,4,1247180,RICHMOND,RIC,543500,2840000,2296500,113000,"[-114.1117208, 51.03002178]",3.230306432,0.150936267,311795,0.230160371,0.233387011,0.59,1
170,2104 RICHMOND RD SW,2017-08-30,2017,2018-08-28,2018,Townhouse,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,5,944080,RICHMOND,RIC,577000,2880000,2303000,113000,"[-114.1109906, 51.03512416]",2.935629938,0.048030568,188816,0.129307368,0.239692858,0.89,2
41,846 CORNERSTONE BV NE,2018-06-05,2018,2020-03-12,2020,Townhouse,SHANE HOMES,SHANE HOMES,0,25,5333734,CORNERSTONE,CNS,3985000,8955000,4970000,99000,"[-113.93777054, 51.152195762000005]",15.18181734,0.117469421,213349.36,0.224728614,1.480167353,-0.04,0
40,#1 129 SKYVIEW PR NE,2018-03-29,2018,2020-07-13,2020,Townhouse,SKYVIEW EDGE,SKYVIEW EDGE,SKYVIEW EDGE,24,4791800,SKYVIEW RANCH,SKR,4170000,6509500,2339500,98000,"[-113.95624135, 51.155982895]",14.77259482,0.165929266,199658.3333,0.136021228,0.272181528,-0.27,0
92,2707 2 ST NW,2022-06-23,2022,2023-11-28,2023,Townhouse,YOUR PROPERTY,YOUR PROPERTY,YOUR PROPERTY,4,797115,MOUNT PLEASANT,MOP,519000,2896000,2377000,92000,"[-114.0676397, 51.07644706]",3.53888363,0.262869067,199278.75,0.205728677,0.257847339,1.20,2
135,5110 20 ST SW,2019-05-07,2019,2020-12-08,2020,Unspecified,RIVERVIEW CUSTOM HOMES,RIVERVIEW CUSTOM HOMES,0,5,441232,NORTH GLENMORE PARK,NGM,762500,3141500,2379000,116000,"[-114.1090274, 51.00851628]",4.79230493,0.032463252,88246.4,0.404672935,0.144005264,1.61,2
55,1621 CORNERSTONE BV NE,2017-10-12,2017,2018-09-10,2018,Townhouse,JAYMAN BUILT,JAYMAN BUILT,0,21,3569043,CORNERSTONE,CNS,1856000,6974500,5118500,99000,"[-113.93846255, 51.163345205]",16.14712212,0.052498278,169954.4286,0.15350111,1.292916989,0.29,0
20,739 SAVANNA LD NE,2020-06-01,2020,2021-01-26,2021,Unspecified,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,13,2503316,SADDLE RIDGE,SAD,1618000,4021000,2403000,98000,"[-113.9661188, 51.13757926666667]",12.69436218,0.1286603,192562.7692,0.282836113,0.904150681,-0.02,0
121,#1 2412 17A ST SW,2017-07-06,2017,2018-10-30,2018,Townhouse,CUBIT DESIGN GROUP,CUBIT DESIGN GROUP,MJ HOMES,4,793802,BANKVIEW,BNK,538000,2948500,2410500,54800,"[-114.1032493, 51.03278044]",2.564387803,0.021963368,198450.5,0.074707918,0.515817024,1.21,2
202,3719 16 ST SW,2022-02-01,2022,2023-06-13,2023,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1459501,ALTADORE,ALT,694500,3115000,2420500,113000,"[-114.1006704, 51.021532]",3.272287271,0.168145673,364875.25,0.105408136,0.599036435,0.45,1
177,2183 49 AV SW,2021-05-18,2021,2022-05-04,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,0,5,1573958,ALTADORE,ALT,721000,3167500,2446500,113000,"[-114.1115264, 51.00983992]",4.768728274,0.162005645,314791.6,0.319770347,0.110300616,0.38,1
100,#1 1722 32 ST SW,2019-05-13,2019,2020-05-20,2020,Townhouse,TRICOR DESIGNS,TRICOR DESIGNS,0,8,1475480,SHAGANAPPI,SHG,1203000,3654500,2451500,82000,"[-114.13388330000001, 51.038864634999996]",4.383540403,0.122820281,184435,0.39059078,0.425165106,0.36,1
134,2717B 28 AV SW,2019-10-03,2019,2021-09-07,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,KALAMOIR,8,2149223,KILLARNEY/GLENGARRY,KIL,1274500,3748000,2473500,101000,"[-114.12589495, 51.02840045]",4.190603314,0.193135347,268652.875,0.128576758,0.619227625,0.09,0
89,51 SAVANNA PA NE,2018-07-31,2018,2019-04-30,2019,Unspecified,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),11,1679505,SADDLE RIDGE,SAD,1118000,3601500,2483500,98000,"[-113.9673325, 51.135009339999996]",12.4131362,0.123958171,152682.2727,0.060385168,0.62233524,0.29,0
67,1468 CORNERSTONE BV NE,2021-09-25,2021,2023-12-08,2023,Unspecified,0,0,0,16,2789811,CORNERSTONE,CNS,1522500,7963500,6441000,99000,"[-113.93799689999999, 51.160233446666666]",15.88504902,0.041872856,174363.1875,0.186987513,1.307817913,0.85,2
192,1809B 19 ST NW,2021-01-04,2021,2022-06-24,2022,Unspecified,DISTRICT HOMES / ELECTRIM DEVELOPMENT,DISTRICT HOMES / ELECTRIM DEVELOPMENT,DISTRICT HOMES / ELECTRIM DEVELOPMENT,4,1060836,BANFF TRAIL,BNF,1119500,3712500,2593000,81000,"[-114.1064631, 51.06824203]",3.560148172,0.074634079,265209,0.232057132,0.380373674,0.70,2
98,2787 19 AV SW,2017-07-25,2017,2020-12-31,2020,Unspecified,0,0,0,7,1393421,KILLARNEY/GLENGARRY,KIL,1000500,3647500,2647000,101000,"[-114.12622065, 51.036237485]",3.914766224,0.169016563,199060.1429,0.256995834,0.414899854,0.52,1
162,648 CORNERSTONE BV NE,2020-06-11,2020,2023-08-30,2023,Unspecified,SUNSTAR HOMES CORNERSTONE DEVELOPMENTS LTD.,SUNSTAR HOMES CORNERSTONE DEVELOPMENTS LTD.,SUNSTAR HOMES,19,3711702,CORNERSTONE,CNS,2422500,10133500,7711000,99000,"[-113.93776807500001, 51.1498975775]",14.98176394,0.078898619,195352.7368,0.222382191,1.447741427,0.65,2
44,1304 19 AV NW,2018-02-22,2018,2019-09-10,2019,Townhouse,SYSTEMIC ARCHITECTURE,SYSTEMIC ARCHITECTURE,HOMES BY SORENSEN,8,1609483,CAPITOL HILL,CAP,1101500,3952500,2851000,81000,"[-114.08974470000001, 51.069640469999996]",3.03792266,0.097396076,201185.375,0.374099324,0.420661111,0.46,1
112,1705 42 AV SW,2019-12-02,2019,2020-09-29,2020,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,6,2157772,ALTADORE,ALT,802500,3727000,2924500,113000,"[-114.1011421, 51.01593995]",3.799637256,0.041264765,359628.6667,0.465721238,0.112033745,0.26,0
212,2100 17A ST SW,2019-06-17,2019,2021-03-25,2021,Unspecified,ALDEBARAN ENTERPRISES,ALDEBARAN ENTERPRISES,0,6,1750862,BANKVIEW,BNK,1902000,4878500,2976500,54800,"[-114.102732, 51.0363678]",2.348867523,0.116093496,291810.3333,0.077171359,0.375134462,0.34,1
103,#4 232 20 AV NE,2020-05-08,2020,2021-12-31,2021,Apartment,HEIRLOOM HOMES,HEIRLOOM HOMES,HEIRLOOM HOMES,4,501395,TUXEDO PARK,TUX,299000,3315000,3016000,80000,"[-114.0581394, 51.07073923]",3.047112744,0.134330204,125348.75,0.383840893,0.441165825,3.14,2
66,1367 CORNERSTONE BV NE,2019-08-08,2019,2023-11-02,2023,Unspecified,STEALTH HOMES,0,STEALTH HOMES,21,4330917,CORNERSTONE,CNS,1429500,9641500,8212000,99000,"[-113.938464925, 51.158718955]",15.72992145,0.045755906,206234.1429,0.183699751,1.260058763,0.67,2
114,1757 45 ST NW,2020-01-31,2020,2022-04-20,2022,Townhouse,CAMBRIDGE HOMES,CAMBRIDGE HOMES,CAMBRIDGE HOMES,8,1943085,MONTGOMERY,MON,940500,4080000,3139500,81000,"[-114.16044555, 51.070985185]",6.843442218,0.120121455,242885.625,0.315234989,0.428946189,0.41,1
64,4102 19 ST SW,2021-02-16,2021,2023-07-27,2023,Unspecified,PE COMFORT HOMES,0,PE COMFORT HOMES,8,2090043,ALTADORE,ALT,1336000,4478500,3142500,113000,"[-114.10566125, 51.01811822]",3.786533932,0.239781476,261255.375,0.39552808,0.233889307,0.31,1
25,#701 50 CORNERSTONE PS NE,2021-04-30,2021,2023-01-24,2023,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,85,17901685,CORNERSTONE,CNS,4900000,32826000,27926000,99000,"[-113.9436723846154, 51.16434592461538]",16.0321777,0.139286995,210608.0588,0.153403768,0.95471337,0.44,1
132,2826 15 ST SW,2018-12-13,2018,2021-02-12,2021,Townhouse,TARAPOINT CONSTRUCTION MANAGEMENT,TARAPOINT CONSTRUCTION MANAGEMENT,0,9,1876457,SOUTH CALGARY,SOC,1592000,4824000,3232000,113000,"[-114.09646985, 51.028710204999996]",2.475848299,0.128690252,208495.2222,0.291781369,0.348284561,0.39,1
33,#1 134 22 AV NE,2017-11-14,2017,2019-06-11,2019,Apartment,CHANDAN HOMES,CHANDAN HOMES,0,8,1366934,TUXEDO PARK,TUX,718000,3985500,3267500,80000,"[-114.0603255, 51.07255853]",3.197750261,0.15116285,170866.75,0.584663815,0.223157451,0.91,2
52,301 KINCORA GLEN RD NW,2018-09-24,2018,2020-07-30,2020,Townhouse,CARLISLE DEVELOPMENTS,CARLISLE DEVELOPMENTS,0,18,2814188,KINCORA,KCA,2307500,5605500,3298000,118000,"[-114.14290820000001, 51.16542297666666]",14.30699469,0.014238573,156343.7778,0.244623004,0.721816215,0.09,0
105,#1 643 3 AV NW,2018-02-26,2018,2020-07-30,2020,Apartment,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,4,972742,SUNNYSIDE,SSD,830000,4178000,3348000,83000,"[-114.0775596, 51.05943689]",1.68244582,0.121126346,243185.5,0.124094864,0.348137971,1.32,2
42,#1 1926 25A ST SW,2017-11-23,2017,2019-03-26,2019,Townhouse,JAYKAY HOMES,JAYKAY HOMES,JAYKAY HOMES,8,1924636,RICHMOND,RIC,1041500,4479500,3438000,113000,"[-114.12209655, 51.036704869999994]",3.622437991,0.135562733,240579.5,0.149939524,0.303030865,0.51,1
137,55 WALGROVE PZ SE,2017-12-15,2017,2020-08-20,2020,Townhouse,CARDEL LIFESTYLES,CARDEL LIFESTYLES,CARDEL LIFESTYLES,20,5136902,WALDEN,WAL,2189000,5657000,3468000,110000,"[-114.02525966666667, 50.86539277]",20.20739744,0.079634034,256845.1,0.108396039,0.681786591,-0.23,0
108,25 SAVANNA MR NE,2022-09-15,2022,2023-07-10,2023,Townhouse,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),10,1564653,SADDLE RIDGE,SAD,1128000,4675000,3547000,98000,"[-113.9533993, 51.136896925]",13.17191771,0.036785828,156465.3,0.088759183,0.710036701,0.74,2
59,1511 24 AV SW,2020-01-21,2020,2021-10-05,2021,Unspecified,SHEMSHO CONSTRUCTION,0,SHEMSHO CONSTRUCTION,8,1920083,BANKVIEW,BNK,1038000,4600000,3562000,54800,"[-114.09667909999999, 51.03179943]",2.252579151,0.131365739,240010.375,0.068190787,0.378455325,0.56,1
146,#1 721 1 AV NW,2019-04-12,2019,2022-06-20,2022,Apartment,K5 DESIGNS,K5 DESIGNS,0,8,2326474,SUNNYSIDE,SSD,1588000,5252000,3664000,83000,"[-114.0773524, 51.057274995]",1.446049387,0.109529987,290809.25,0.306621169,0.173004285,0.34,1
53,#1 1714 KENSINGTON RD NW,2017-06-01,2017,2019-03-19,2019,Apartment,STEALTH HOMES,STEALTH HOMES,0,8,2090263,HILLHURST,HIL,1439500,5126000,3686500,109000,"[-114.09843269999999, 51.05262495]",2.052926541,0.013938206,261282.875,0.293505945,0.401312811,0.45,1
19,2605 26 AV SW,2017-12-05,2017,2019-05-22,2019,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,0,7,1993202,RICHMOND,RIC,885000,4601000,3716000,113000,"[-114.12131405, 51.02995378]",3.827069835,0.024106127,284743.1429,0.287059534,0.394193478,0.60,1
155,3902 15A ST SW,2018-03-06,2018,2019-04-04,2019,Unspecified,RANGER HOMES,RANGER HOMES,0,6,2209358,ALTADORE,ALT,565000,4324000,3759000,113000,"[-114.0988577, 51.01995135]",3.339383998,0.05531848,368226.3333,0.165966615,0.529494004,0.56,1
69,#2 6324 BOWWOOD DR NW,2017-10-06,2017,2019-04-15,2019,Townhouse,HABITAT FOR HUMANITY,HABITAT FOR HUMANITY,0,10,2904640,BOWNESS,BOW,932500,4729500,3797000,70000,"[-114.1801533, 51.08478712]",8.779461077,0.064640096,290464,0.14232275,0.693509112,0.23,0
117,#1 4411 17 AV NW,2020-07-28,2020,2023-06-20,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,8,2962182,MONTGOMERY,MON,810500,4642000,3831500,81000,"[-114.157374, 51.068883525000004]",6.550816665,0.073429664,370272.75,0.127186354,0.414010208,0.23,0
23,876 CORNERSTONE BV NE,2021-09-13,2021,2023-10-03,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,SHANE HOMES,80,17006940,CORNERSTONE,CNS,3760000,35849500,32089500,99000,"[-113.93659985384616, 51.15332387615385]",15.33090966,0.127266845,212586.75,0.27472934,1.501036991,0.73,2
71,2007B 22 AV NW,2020-06-03,2020,2021-12-23,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,7,1508164,BANFF TRAIL,BNF,597500,4480000,3882500,81000,"[-114.1064614, 51.07195028]",3.872907083,0.007291242,215452,0.315863356,0.177358536,1.13,2
183,2305 19 ST NW,2018-01-17,2018,2018-12-05,2018,Townhouse,STONE WEST HOMES,STONE WEST HOMES,0,4,789959,BANFF TRAIL,BNF,1107500,5038500,3931000,81000,"[-114.1064745, 51.07272788]",3.941392303,0.080531909,197489.75,0.384511783,0.191562963,1.66,2
24,242 CITYSCAPE BV NE,2017-11-28,2017,2019-03-07,2019,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,0,35,5434159,CITYSCAPE,CSC,2146500,11946500,9800000,108000,"[-113.9621298375, 51.147172922500005]",13.72925811,0.295018211,155261.6857,0.237067028,1.31067998,0.58,1
110,5109 19 ST SW,2021-11-19,2021,2023-07-19,2023,Townhouse,APARTMENT BUILDING,APARTMENT BUILDING,TAMSON DEVELOPMENTS,7,1957955,NORTH GLENMORE PARK,NGM,815500,4862500,4047000,116000,"[-114.1066379, 51.00858142]",4.697613037,0.031404116,279707.8571,0.414594852,0.262743902,0.75,2
142,1701 31 AV SW,2020-08-26,2020,2022-01-27,2022,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,7,1675545,SOUTH CALGARY,SOC,627500,4712500,4085000,113000,"[-114.0997828, 51.02543881]",2.899786746,0.156539031,239363.5714,0.180490488,0.218723761,1.05,2
45,103 CRANBROOK WK SE,2017-08-03,2017,2018-10-24,2018,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),10,1483998,CRANSTON,CRA,4470400,8685000,4214600,121000,"[-113.9763855, 50.86435327]",21.14338255,0.045550419,148399.8,0.01728295,1.259076292,0.46,1
120,11149 CITYSCAPE DR NE,2022-07-21,2022,2023-11-21,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,27,5628196,CITYSCAPE,CSC,1671000,12571500,10900500,108000,"[-113.95563441428571, 51.15207573285714]",14.43472385,0.11396436,208451.7037,0.128634902,0.708648591,0.72,2
150,2105 6 ST NW,2018-10-19,2018,2020-02-12,2020,Apartment,STONE WEST HOMES,STONE WEST HOMES,0,8,1443073,MOUNT PLEASANT,MOP,1141000,5385500,4244500,92000,"[-114.07650179999999, 51.070654485]",2.900350031,0.167914522,180384.125,0.065004661,0.471209651,1.08,2
126,1540 30 AV SW,2018-08-13,2018,2019-10-23,2019,Townhouse,MEIGA DEVELOPMENT CORPORATION,MEIGA DEVELOPMENT CORPORATION,0,4,1700000,SOUTH CALGARY,SOC,1238500,5720000,4481500,113000,"[-114.0968429, 51.02687066]",2.644054903,0.14805597,425000,0.127237105,0.287148467,0.95,2
