"BOARD","NAME","ADDRESS_AB","POSTAL_COD","CITY","PROVINCE","PHONE_NO","FAX_NO","EMAIL","GRADES","POSTSECOND","DATA_SOURCE","ELEM","JUNIOR_H","SENIOR_H","GLOBAL_ID","POINT"
"Janus Academy Society","Janus Academy","200 - 403 33 Street NE","T2A1X5","Calgary","AB","(403) 262-3333",,"janus.contact@janusacademy.org","Elementary","N","N","Y","N","N","{D5E1B26E-572A-443C-826C-C9783F9FB532}","POINT (-113.9875469 51.0553729)"
"The Calgary Roman Catholic Separate School Division","Our Lady of Grace School","736 Evanston Drive","T3P0N7","Calgary","AB","(403) 500-2124",,"ourladyofgrace@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{7447CC83-EE09-472E-8268-BB10F85DB782}","POINT (-114.1205009 51.1793462)"
"The Calgary School Division","Forest Lawn High School","1304  44 St SE","T2A1M8","Calgary","AB","(403) 272-6665",,"forestlawn@cbe.ab.ca","Senior High","N","N","N","N","Y","{6A055979-39A2-476D-AE8F-9569A0AFA6A2}","POINT (-113.9689639 51.0424098)"
"The Calgary School Division","Griffith Woods School","7652  26 Ave SW","T3H3X2","Calgary","AB","(403) 817-3572",,"griffithwoods@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{2C3DB9F3-11F8-4807-8599-2C308EFACD78}","POINT (-114.1947612 51.0309861)"
"The Calgary Roman Catholic Separate School Division","St. Augustine Elementary Junior High School","7112 - 7 Street S.W.","T2V1E9","Calgary","AB","(403) 500-2022",,"staugustine@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{2317A294-DC62-45F7-A9A2-C678FB1038AE}","POINT (-114.0807914 50.9911204)"
"The Calgary School Division","Annie Gale School","577 Whiteridge Way NE","T1Y4S8","Calgary","AB","(403) 777-7680",,"anniegale@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{EA00732C-99B0-4EAF-84A3-3119F4ADA68F}","POINT (-113.9689571 51.0890794)"
"The Calgary School Division","Lakeshore School","430 Auburn Bay Dr SE","T3M1P6","Calgary","AB","(403) 817-3440",,"Lakeshore@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{57036CF3-B2DF-4507-83D4-3D84E73E1EB8}","POINT (-113.9538082 50.8959186)"
"The Calgary School Division","Chris Akkerman School","5004 Marbank Dr NE","T2A3J6","Calgary","AB","(403) 777-8120",,"chrisakkerman@cbe.ab.ca","Elementary","N","N","Y","N","N","{D6B07838-2C4E-4B67-98E5-65A7161D32C1}","POINT (-113.9630252 51.063764)"
"The Calgary School Division","Ethel M. Johnson School","255 Sackville Dr SW","T2W0W7","Calgary","AB","(403) 777-8500",,"ethelmjohnson@cbe.ab.ca","Elementary","N","N","Y","N","N","{5C5C2F1D-6E91-45FF-99A8-F62D16E02B5C}","POINT (-114.0890531 50.9554801)"
"River Valley School Society","River Valley School","3127 Bowwood Drive N.W.","T3B2E7","Calgary","AB","(403) 246-2275",,"info@rivervalleyschool.ca","Elementary","N","N","Y","N","N","{1BE1A444-53CF-41B4-8D6B-D85D91C1606B}","POINT (-114.1743584 51.0794761)"
"The Calgary School Division","Dr. Martha Cohen School","116 Brightondale Pk SE","T2Z0V1","Calgary","AB","(403) 817-3548",,"drmarthacohen@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{970767CF-F553-4B72-9B67-24B0091356CC}","POINT (-113.9447466 50.9171057)"
"The Calgary Roman Catholic Separate School Division","Holy Cross Elementary Junior High School","3719 - 26 Avenue S.E.","T2B0C6","Calgary","AB","(403) 500-2033",,"holycross@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{B37C2DB5-CC22-44BE-A5C6-6C3999BDC08A}","POINT (-113.9795768 51.0300622)"
"The Southern Francophone Education Region","École du Nouveau-Monde","220 Scenic Acres Drive NW","T3L0E7","Calgary","AB","(403) 910-3851",,"nouveaumonde@francosud.ca","Elementary","N","N","Y","N","N","{2E8D7C4F-B106-4D30-B5F4-DF2F5956D33E}","POINT (-114.2151383 51.1116028)"
"The Calgary School Division","Dr. Gordon Townsend School","28 Oki Drive NW","T3B6A8","Calgary","AB","(403) 955-7004",,"drgordontownsend@cbe.ab.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{96CD6172-BC8E-4306-BD60-96C08FBD0670}","POINT (-114.1483598 51.0745013)"
"The Calgary Roman Catholic Separate School Division","St. Jerome Elementary School","11616 Panorama Hills Blvd NW","T3K5S3","Calgary","AB","(403) 500-2115",,"stjerome@cssd.ab.ca","Elementary","N","N","Y","N","N","{EC6EC988-6C75-4EC8-A95A-310CEDB18E96}","POINT (-114.079297 51.1577179)"
"The Calgary School Division","Silver Springs School","7235 Silver Mead Rd NW","T3B3V1","Calgary","AB","(403) 777-6070",,"silversprings@cbe.ab.ca","Elementary","N","N","Y","N","N","{EC425D5C-53DE-4CE7-BC10-4794A8A17770}","POINT (-114.1908398 51.1057169)"
"The Calgary School Division","Royal Oak School","9100 Royal Birch Blvd NW","T3G5R8","Calgary","AB","(403) 777-6279",,"royaloak@cbe.ab.ca","Elementary","N","N","Y","N","N","{5BB19023-825E-439B-94B5-24A65FC8BB0D}","POINT (-114.2220836 51.1455795)"
"The Calgary Roman Catholic Separate School Division","St. Mark Elementary School","4589 Marbank Drive N.E.","T2A3V8","Calgary","AB","(403) 500-2068",,"stmark@cssd.ab.ca","Elementary","N","N","Y","N","N","{F932B435-01EE-4392-BA4E-A900AA9219D1}","POINT (-113.9693755 51.0629888)"
,"BOW VALLEY COLLEGE",,"T2G4V1","Calgary","AB","(403) 410-1400",,"info@bowvalleycollege.ca",,"Y","Y",,,,"{2083A03F-F7F3-4A50-B6AD-042F6F28DB86}","POINT (-114.0560154 51.0467729)"
"The Calgary School Division","Central Memorial High School","5111  21 St SW","T3E1R9","Calgary","AB","(403) 243-8880",,"centralmemorial@cbe.ab.ca","Senior High","N","N","N","N","Y","{29B3F3D2-2361-4903-BA7D-C9926197CF95}","POINT (-114.1135347 51.0079346)"
"The Calgary School Division","Douglasdale School","400 Douglas Park Blvd SE","T2Z4A3","Calgary","AB","(403) 777-6177",,"douglasdale@cbe.ab.ca","Elementary","N","N","Y","N","N","{B760A633-2C0D-409C-82F7-4A77A2C78263}","POINT (-113.982663 50.9352697)"
"The Calgary School Division","Mahogany School","165 Mahogany Blvd. SE","T3M1N4","Calgary","AB","(403) 817-3448",,"Mahogany@cbe.ab.ca","Elementary","N","N","Y","N","N","{AF957B71-2CA5-465B-B234-FB1073602818}","POINT (-113.9265654 50.9025781)"
"The Calgary School Division","Bob Edwards School","4424 Marlborough Dr NE","T2A2Z5","Calgary","AB","(403) 777-7770",,"bobedwards@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{CA6734FB-6956-429A-B37B-5A4FB68E57CA}","POINT (-113.968788 51.0599362)"
"The Calgary School Division","Annie Foote School","6320 Temple Dr NE","T1Y5V5","Calgary","AB","(403) 777-6680",,"anniefoote@cbe.ab.ca","Elementary","N","N","Y","N","N","{6A24483A-5202-489F-ACD3-F066A5648C67}","POINT (-113.9403445 51.0859954)"
"The Calgary School Division","Louise Dean School","120  23 St NW","T2N2P1","Calgary","AB","(403) 777-7630",,"louisedean@cbe.ab.ca","Senior High","N","N","N","N","Y","{8EE84839-BB63-4A4A-86AB-C8D67463240C}","POINT (-114.1146967 51.0531575)"
"The Calgary School Division","Braeside School","1747  107 Ave SW","T2W0C3","Calgary","AB","(403) 777-8470",,"braeside@cbe.ab.ca","Elementary","N","N","Y","N","N","{9ABC9435-4FEB-4020-9BE4-1A483C2934D6}","POINT (-114.1017086 50.9566803)"
"The Calgary Roman Catholic Separate School Division","Bishop McNally High School","5700 Falconridge Boulevard N.E","T3J3N4","Calgary","AB","(403) 500-2091",,"bishopmcnally@cssd.ab.ca","Senior High","N","N","N","N","Y","{42BBA97C-A974-44D0-9ECB-668B2A79F007}","POINT (-113.9536206 51.103228)"
,"MOUNT ROYAL UNIVERSITY - LINCOLN PARK CAMPUS",,"T3E6K6","Calgary","AB","(403) 440-5000",,"aro@mtroyal.ca",,"Y","Y",,,,"{D53F6D7E-EF8E-4DD1-813A-87F4BC6F981C}","POINT (-114.1327346 51.0128117)"
"The Calgary School Division","William Aberhart High School","3009 Morley Trail NW","T2M4G9","Calgary","AB","(403) 289-2551",,"williamaberhart@cbe.ab.ca","Junior High/Senior High","N","N","N","Y","Y","{1026647C-EBC0-4CA7-8613-5EA268B94440}","POINT (-114.1153518 51.0786763)"
"Muslim Association of Canada","MAC Islamic School - Calgary Chapter","64 12 street NE","T3G1B5","Calgary","AB","(403) 454-7879",,"office@macislamicschool.ca","Elementary/Junior High","N","N","Y","Y","N","{BCBC787A-7C68-4E00-9059-3D50B9576497}","POINT (-114.1799465 51.1148437)"
"The Calgary Roman Catholic Separate School Division","Monsignor J. S. Smith School","2919 Douglasdale Boulevard S.E","T2Z2H9","Calgary","AB","(403) 500-2069",,"msgrsmith@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{F5F77545-937C-4F57-9DBE-ACE886EF962B}","POINT (-113.9898805 50.9412152)"
"The Calgary School Division","Eric Harvie School","357 Tuscany Dr NW","T3L3C9","Calgary","AB","(403) 817-3532",,"ericharvie@cbe.ab.ca","Elementary","N","N","Y","N","N","{F2F24612-B4F3-4CEA-B0C7-0BDC26AE0407}","POINT (-114.2511254 51.1280486)"
"The Calgary Roman Catholic Separate School Division","St. Rita School","7811 Ranchview Drive N.W.","T3G2B3","Calgary","AB","(403) 500-2083",,"strita@cssd.ab.ca","Elementary","N","N","Y","N","N","{D833F66E-C253-4098-945E-9BF3D647DD1F}","POINT (-114.1817674 51.1198729)"
"The Calgary School Division","Louis Riel School","9632 Oakfield Dr SW","T2V0L1","Calgary","AB","(403) 777-7650",,"louisriel@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{F912B6B6-0FBF-4B8E-B4BF-7D95BDF0D6AA}","POINT (-114.1322722 50.9667379)"
"Mountain View Academy Society","Mountain View Academy","3915 34 Street NE","T1Y6Z8","Calgary","AB","(403) 217-4346",,"office@mountainviewacademy.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{D3CB0C18-EBF5-4989-8B08-1AF0D0456C59}","POINT (-113.9861182 51.0884446)"
"The Calgary School Division","Keeler School","4807 Forego Ave SE","T2A2C4","Calgary","AB","(403) 777-8180",,"keeler@cbe.ab.ca","Elementary","N","N","Y","N","N","{D7965807-A033-4059-9E72-409E6BC67DA5}","POINT (-113.9648274 51.0492636)"
"The Calgary Roman Catholic Separate School Division","St. Teresa of Calcutta School","St. Teresa School 121 Midlake","T2X1T7","Calgary","AB","(403) 500-2078",,"stteresa@cssd.ab.ca","Elementary","N","N","Y","N","N","{11A09257-BC32-426D-B933-3585CCE076B0}","POINT (-114.0520974 50.9143846)"
"The Calgary School Division","Patrick Airlie School","1520  39 St SE","T2A1H9","Calgary","AB","(403) 777-8220",,"patrickairlie@cbe.ab.ca","Elementary","N","N","Y","N","N","{C7D032C4-7EDD-4DE9-AC29-6F8CF45F07A9}","POINT (-113.9767981 51.0399181)"
"The Calgary Roman Catholic Separate School Division","St. Monica School","235 - 18 Avenue S.W.","T2S0C2","Calgary","AB","(403) 500-2001",,"Stmonica@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{CD48CE97-C8FF-4465-97B9-72153EBAD303}","POINT (-114.0678286 51.0367765)"
"Foundations for the Future Charter Academy Charter School Society","Southwest Elementary Campus","898 Sylvester Cres. SW","T2W0R7","Calgary","AB","(403) 259-3527",,"pam.brah@ffca-calgary.com","Elementary","N","N","Y","N","N","{90292F20-F9E3-4F8A-BEBC-6CB6A0624C2B}","POINT (-114.0825608 50.9589875)"
"The Calgary School Division","Manmeet Singh Bhullar School","1027 Martindale Blvd NE","T3J4Z1","Calgary","AB","(403) 817-3568",,"manmeetsinghbhullar@cbe.ab.ca","Elementary","N","N","Y","N","N","{344F84C6-C5A1-4366-A8A4-DFF47B97E2D8}","POINT (-113.9594368 51.1233136)"
"The Calgary School Division","Western Canada High School","641  17 Ave SW","T2S0B5","Calgary","AB","(403) 228-5363",,"westerncanada@cbe.ab.ca","Senior High","N","N","N","N","Y","{ACED75F9-97F3-4D21-91EF-5BD2F0EBF75E}","POINT (-114.0775618 51.0370015)"
"The Calgary School Division","Rundle School","4120 Rundlehorn Dr NE","T1Y4W9","Calgary","AB","(403) 777-6760",,"rundle@cbe.ab.ca","Elementary","N","N","Y","N","N","{77FB6A43-2321-433B-86BE-6F2399792D23}","POINT (-113.973736 51.0711891)"
"The Calgary Roman Catholic Separate School Division","Christ the King Catholic School","333 Cranston Way SE","T3M1K6","Calgary","AB","(403) 500-2119",,"christ.theking@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{89A688CE-05A0-4A90-9BAA-ED5EB64F7C0C}","POINT (-113.9759845 50.8878437)"
"Maria Montessori Education Centre of Calgary, Ltd.","Maria Montessori School","Chief Crowfoot School Building 
2605 13 Avenue NW","T2N1K6","Calgary","AB","(403) 668-8538",,"info@mmec.ca","Elementary/Junior High","N","N","Y","Y","N","{8946B344-BF90-43ED-AE9E-2D7652BE1159}","POINT (-114.1235969 51.0627165)"
"Calgary Arts Academy Society","Calgary Arts Academy Rosscarrock Middle School","1406 40th Street SW","T3C1W7","Calgary","AB","(403) 255-1984",,"cjordan@caaschool.com","Unknown","N","N","N","N","N","{326794EA-D526-4BC9-A0C0-601CDF1FE00A}","POINT (-114.1447965 51.0412231)"
"The Calgary School Division","Sherwood School","2011  66 Ave SE","T2C1J4","Calgary","AB","(403) 777-7590",,"sherwood@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{2A6BB377-3E24-4008-ADD7-27E01FCD5C09}","POINT (-114.0114926 50.9937034)"
"The Calgary Roman Catholic Separate School Division","Monsignor E. L. Doyle Elementary School","8887 Scurfield Drive NW","T3L1H6","Calgary","AB","(403) 500-2098",,,"Elementary","N","N","Y","N","N","{EE614C97-0A94-475B-9864-B61B6A3F57C9}","POINT (-114.2166262 51.1220249)"
"The Calgary School Division","Brentwood School","1231 Northmount Dr NW","T2L0C9","Calgary","AB","(403) 777-6130",,"brentwood@cbe.ab.ca","Elementary","N","N","Y","N","N","{8A083B9B-3CBB-4F60-83BE-E9EEF51DC3EC}","POINT (-114.1238723 51.0904962)"
"Westmount Charter School Society","Westmount Elementary School","728 - 32 Street NW","T2N2V9","Calgary","AB","(403) 217-0426",,"ecadmin@westmountcharter.com","Elementary","N","N","Y","N","N","{1C24955F-C61A-402B-B0E7-A5D0B8D0FFE5}","POINT (-114.1314426 51.0581544)"
"The Calgary Roman Catholic Separate School Division","Our Lady of the Rockies High School","111 Haddon Road S.W.","T2V2Y2","Calgary","AB","(403) 500-2047",,"ourladyoftherockies@cssd.ab.ca","Senior High","N","N","N","N","Y","{E08616E5-5E83-45A9-9CD6-185A0D0C60C3}","POINT (-114.0787552 50.9754445)"
"The Calgary School Division","Somerset School","150 Somerset Manor SW","T2Y4S2","Calgary","AB",,,"somerset@cbe.ab.ca","Elementary","N","N","Y","N","N","{7D12E64C-278B-4820-8120-E6AABFFFE116}","POINT (-114.0849814 50.8974187)"
"The Calgary Roman Catholic Separate School Division","Holy Angels School","275 Riverglen Drive SE","T2C3T5","Calgary","AB","(403) 500-2101",,"holyangels@cssd.ab.ca","Elementary","N","N","Y","N","N","{A60110B4-CCEB-46D5-925C-427DC4F5F2AC}","POINT (-114.0100319 50.9741021)"
"The Calgary Roman Catholic Separate School Division","Monsignor A. J. Hetherington Elementary School","4 Coral Springs Boulevard N.E","T3J3J3","Calgary","AB","(403) 500-2036",,"monsignor.hetherington@cssd.ab.ca","Elementary","N","N","Y","N","N","{B0C15ACD-86DC-4022-A8B5-F6543CF8A28C}","POINT (-113.9343077 51.0996085)"
"The Calgary School Division","Radisson Park School","2805 Radcliffe Dr SE","T2A0C8","Calgary","AB","(403) 777-8070",,"radissonpark@cbe.ab.ca","Elementary","N","N","Y","N","N","{1C0A496F-91D8-40AD-A7FD-943BC5A7A185}","POINT (-113.9922472 51.0461681)"
"Renfrew Educational Services Society","Renfrew Educational Services-Bowness Centre","2050 - 21 Street N.E.","T3B2B2","Calgary","AB","(403) 291-5038",,"renfrew@renfreweducation.org","Unknown","N","N","N","N","N","{E967E43B-1B4E-43BA-9CB0-169AA55CBDDE}","POINT (-114.2119387 51.096336)"
"The Calgary School Division","Bishop Pinkham School","3304  63 Ave SW","T3E5K1","Calgary","AB","(403) 777-7840",,"bishoppinkham@cbe.ab.ca","Junior High","N","N","N","Y","N","{FDBA9A3F-6F3C-4EA0-B96B-2688E225B26C}","POINT (-114.1307135 50.9972697)"
"The Calgary School Division","Marlborough School","4711 Maryvale Dr NE","T2A3A1","Calgary","AB","(403) 777-8190",,"marlborough@cbe.ab.ca","Elementary","N","N","Y","N","N","{B6952350-0E9F-4BEC-B0EE-54C98EAC300A}","POINT (-113.9655139 51.0560903)"
"Alberta Chung Wah School Society","Alberta Chung Wah School","#270, 328 Centre Street S.E.","T2G4X6","Calgary","AB","(403) 271-8033",,"office@albertachungwahschool.ca","Unknown","N","N","N","N","N","{2991A628-B476-415E-A749-086A0F5C183C}","POINT (-114.0617526 51.0495717)"
"Foundations for the Future Charter Academy Charter School Society","North Middle School Campus","211 McKnight Blvd. NE","T2E5S7","Calgary","AB",,,"kimberly.johnson@ffca-calgary.com","Elementary/Junior High","N","N","Y","Y","N","{D08E4462-6A2C-4313-B3F4-239AA4659ADC}","POINT (-114.0600524 51.0954545)"
"Almadina School Society","Calgary Charter School Hub ¿ Almadina Campus","3636 Research Road NW","T2L1Y1","Calgary","AB","(825) 801-5825",,"elmasri@esl-almadina.com","Junior High/Senior High","N","N","N","Y","Y","{EF65E652-57FC-4B7F-9685-01C9FD3F2EEE}","POINT (-114.1373455 51.0868412)"
"The Calgary School Division","Belfast School","1229  17A St NE","T2E4V4","Calgary","AB","(403) 777-6250",,"belfast@cbe.ab.ca","Elementary","N","N","Y","N","N","{4D67E234-E38C-44E9-A43D-053951B145A5}","POINT (-114.0183225 51.0633817)"
"The Calgary School Division","Lord Beaverbrook High School","9019 Fairmount Dr SE","T2H0Z4","Calgary","AB","(403) 259-5585",,"lordbeaverbrook@cbe.ab.ca","Senior High","N","N","N","N","Y","{A61352EF-BB89-4B59-A82C-D8740CB793DB}","POINT (-114.0616538 50.9731066)"
"The Calgary School Division","McKenzie Towne School","679 Prestwick Cir SE","T2Z0V3","Calgary","AB",,,"mckenzietowneSchool@cbe.ab.ca","Elementary","N","N","Y","N","N","{5FE199F8-835B-4E5F-88C2-E5ED0768BB76}","POINT (-113.9667317 50.9270555)"
"The Calgary School Division","Discovering Choices II","3610 - 9th Street SE","T2A6K3","Calgary","AB","(403) 777-8384",,"discoveringchoices@cbe.ab.ca","Senior High","N","N","N","N","Y","{1714AB85-5181-49D0-BB2D-6133E5B6BB41}","POINT (-113.9849539 51.0565383)"
"The Calgary Roman Catholic Separate School Division","St. Clare","12455 Coventry Hills Way, N.E.","T3K5Z4","Calgary","AB","(403) 500-2102",,"stclare@cssd.ab.ca","Elementary","N","N","Y","N","N","{14D5846C-F061-4035-99EC-29DDDC4872B0}","POINT (-114.0454099 51.1647493)"
"Westmount Charter School Society","Westmount Mid/High School","2215 Uxbridge Dr. N.W.","T2N4Y3","Calgary","AB",,,"mhadmin@westmountcharter.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{E8067A46-5C8D-40EA-AE89-A297DA56DC0B}","POINT (-114.1325271 51.0710543)"
"The Calgary Roman Catholic Separate School Division","St. Elizabeth Seton","10845 Hidden Valley Drive","T3A6K3","Calgary","AB","(403) 500-2105",,"stelizabethseton@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{D809C978-FD69-4E69-A517-11D5C97504F7}","POINT (-114.1104507 51.1511086)"
"Al-Ghani Learning","Little Angels","PO Box 54073 
Pro Village Square","T3K2R5","Calgary","AB","(403) 285-9277",,,"Unknown","N","N","N","N","N","{F9F0B0E9-78D9-4272-8B52-E9E23AC06E09}","POINT (-114.0321078 51.1520563)"
"The Calgary School Division","Banting and Best School","1819 66 Avenue SE","T2C2K5","Calgary","AB","(403) 777-8650",,"bantingandbest@cbe.ab.ca","Elementary","N","N","Y","N","N","{362D6F87-D7C8-4C63-994C-D1EC9719D6AB}","POINT (-114.0138764 50.9937496)"
"Foundations for the Future Charter Academy Charter School Society","FFCA South High School Campus","315 86 Avenue SE","T2H1Z2","Calgary","AB","(587) 794-4250",,"terry.carlisle-fink@ffca-calgary.com","Junior High/Senior High","N","N","N","Y","Y","{CDD9A9F6-B274-4F5B-A06D-6FD597EF974C}","POINT (-114.0650787 50.9753272)"
"Congregation House of Jacob-Mikveh Israel","Akiva Academy","140 Haddon Road S.W.","T2V2Y3","Calgary","AB","(403) 258-1312",,"office@akiva.ca","Elementary/Junior High","N","N","Y","Y","N","{BDAB72F5-2FBA-4E44-919E-1F642D31FB1F}","POINT (-114.0778378 50.9732841)"
"The Palliser School Division","Horizon Leadership Academy","199 Queen Charlotte Drive SE","T3E7K9","Calgary","AB","(403) 460-1746",,"aasima.asrar@pallisersd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{07E1E53B-FF70-43B3-9124-12B3275F57A3}","POINT (-114.119061 51.0176511)"
"The Calgary School Division","Hugh A. Bennett School","40 Saddlelake Way NE","T3J0V1","Calgary","AB","(403) 817-3560",,"hughabennett@cbe.ab.ca","Elementary","N","N","Y","N","N","{35062205-CDEF-4453-9004-D494966A6AE2}","POINT (-113.9285519 51.1317157)"
"The Calgary School Division","Rosemont School","19 Rosevale Dr NW","T2K1N6","Calgary","AB","(403) 777-6230",,"rosemont@cbe.ab.ca","Elementary","N","N","Y","N","N","{B4ED222D-BC94-44B4-A8CF-61BEB1CE2C9C}","POINT (-114.0923876 51.077878)"
"The Calgary School Division","Mayland Heights School","2324 Maunsell Drive NE","T2E6A2","Calgary","AB","(403) 777-6290",,"maylandheights@cbe.ab.ca","Elementary","N","N","Y","N","N","{F0533350-586A-4A39-882E-F46563C62782}","POINT (-114.007307 51.0589586)"
"The Calgary School Division","New Brighton School","30 New Brighton Dr SE","T2Z4B2","Calgary","AB","(403) 817-3516",,"newbrighton@cbe.ab.ca","Elementary","N","N","Y","N","N","{03FFE0D2-0BA4-4A56-90E9-782AE78C50A1}","POINT (-113.953722 50.9194839)"
"The Calgary School Division","Buchanan School","3717 Centre St NW","T2E2Y2","Calgary","AB","(403) 777-6260",,"buchanan@cbe.ab.ca","Elementary","N","N","Y","N","N","{636EB243-0309-42CD-A4DC-3B4A20E91238}","POINT (-114.0631621 51.0856364)"
"The Calgary Roman Catholic Separate School Division","Holy Trinity School","1717 - 41 Street S.E.","T2A1L2","Calgary","AB","(403) 500-2032",,"holytrinity@cssd.ab.ca","Elementary","N","N","Y","N","N","{DAD99979-7BDF-4E66-B579-AADAF4610BB2}","POINT (-113.9749598 51.0389768)"
"The Gilbertine Institute of Catholic Studies","The Gilbertine Academy","1423 8 Ave SE","T2G0N1","Calgary","AB","(866) 361-3650",,"admin@gilbertineinstitute.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{44CA89C4-2FCE-4256-90F5-140F313A4380}","POINT (-114.0292647 51.0400303)"
"The Calgary School Division","Midsun School","660 Sunmills Dr SE","T2X3R5","Calgary","AB","(403) 777-6430",,"midsun@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{9E7B90A7-855A-4B2E-A28F-36FD3EFF81E5}","POINT (-114.0309296 50.9018562)"
"The Calgary Roman Catholic Separate School Division","Monsignor Neville Anderson School","327 Sandarac Drive N.W.","T3K4B2","Calgary","AB","(403) 500-2094",,"mna.school@cssd.ab.ca","Elementary","N","N","Y","N","N","{97350030-0E68-488E-BE3B-FEA1559D225D}","POINT (-114.1040987 51.1391307)"
"The Palliser School Division","Heritage Christian Academy","2003 McKnight Boulevard N.E.","T2E6L2","Calgary","AB","(403) 219-3201",,"heritage_info@pallisersd.ab.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{D6A23A31-763C-4F8F-BB91-BBAA3C8FBDF6}","POINT (-114.0100347 51.0921419)"
"The Calgary Roman Catholic Separate School Division","All Saints School","729 Legacy Village Rd SE","T2X4K9","Calgary","AB","(403) 500-2133",,"allsaints@cssd.ab.ca","Senior High","N","N","N","N","Y","{DBD45BDD-F07C-46C2-BFE7-B6A054A1B29F}","POINT (-114.0267651 50.8593354)"
"The Calgary School Division","Queen Elizabeth High School","512  18 St NW","T2N2G5","Calgary","AB","(403) 777-6380",,"queenelizabethjrsr@cbe.ab.ca","Junior High/Senior High","N","N","N","Y","Y","{202BFAB8-4C25-4E05-9FBF-5C42CD830897}","POINT (-114.1019306 51.0562092)"
"The Calgary School Division","McKenzie Highlands School","25 McKenzie Towne Dr SE","T2Z4B7","Calgary","AB","(403) 817-3544",,"mckenziehighlands@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{8440DAA9-A922-449C-96F9-D444ED71084F}","POINT (-113.9700874 50.9110004)"
"The Calgary Roman Catholic Separate School Division","St. Francis High School","877 Northmount Drive N.W.",,"Calgary","AB","(403) 500-2026",,"st.francis@cssd.ab.ca","Senior High","N","N","N","N","Y","{4461B735-3D88-4949-8478-8CF687A5F957}","POINT (-114.1024218 51.0845133)"
"Bearspaw Christian School Society","BCS@Home Blended-Learning South Campus","15001 69 Street NW","T3R1C5","Calgary","AB","(403) 295-2566",,"info@bearspawschool.com","Unknown","N","N","N","N","N","{8E7B0E04-B72F-474D-9379-F7374B2DAA14}","POINT (-114.1893601 51.1869508)"
"The Calgary School Division","Colonel Walker School","1921  9 Ave SE","T2G0V3","Calgary","AB","(403) 777-6780",,"colonelwalker@cbe.ab.ca","Elementary","N","N","Y","N","N","{3C5A104B-D380-4B8E-9014-3E7AF422856B}","POINT (-114.019049 51.0343687)"
"The Calgary School Division","Centennial High School","55 Sun Valley Blvd SE","T2X3W7","Calgary","AB","(403) 256-8140",,"centennialhigh@cbe.ab.ca","Senior High","N","N","N","N","Y","{B4A92E25-747E-4502-B696-1340CE926EB3}","POINT (-114.0533681 50.9061114)"
"The Prairie Land School Division","Al-Amal Academy","9 Royal Vista Drive NW","T3R0N2","Calgary","AB","(825) 996-5399",,"al-amal.academy@plrd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{F07905CC-8DD4-40B5-B8E4-FC8A4E6AFC97}","POINT (-114.2075571 51.150739)"
"The Calgary School Division","Penbrooke Meadows School","5645 Pensacola Cres SE","T2A2G4","Calgary","AB","(403) 777-8230",,"penbrookemeadows@cbe.ab.ca","Elementary","N","N","Y","N","N","{E54C6271-F843-49F3-B1AF-0B38AA9D5C2A}","POINT (-113.952203 51.0418021)"
"Calgary German Language School Society","Calgary German Language School Society","PO Box 84114    Market Mall RPO","T3B2L9","Calgary","AB","(403) 797-1766",,"admin@cglss.com","Junior High/Senior High","N","N","N","Y","Y","{7D337AA5-B69D-4D5A-BCB2-B0ABE93A9D23}","POINT (-114.1928032 51.0875658)"
"The Calgary School Division","William D. Pratt School","9850 Royal Oak Dr NW","T3G0A4","Calgary","AB","(403) 817-3520",,"williamdpratt@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{B0F129F9-167E-48C7-9FC7-F7F67531E274}","POINT (-114.2241069 51.1493674)"
"The Calgary School Division","West Springs School","8999 Wentworth Ave SW","T3H0P7","Calgary","AB","(403) 777-6244",,,"Elementary","N","N","Y","N","N","{A502A962-0346-44D8-B2AF-8B90BE00DF2F}","POINT (-114.2167641 51.0584445)"
